image_id	score	url	categories	vqa	vqg
513354	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000513354.jpg	1	Is there snow?---What is the man doing in the photo?---Where was the person holding the camera?	Is this airplane able to fly over the top of that mountain?---Is the person in a plane?---What mountain is that?---Is that the top of the mountain?---Was he a good pilot?
63943	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000063943.jpg	3---3---1---1---1---3---3---3---3---3---1	What does the yellow sign say?---Is this an urban setting?---How many road cones are there?---How many autos are there?---What is the most colorful object in the picture?---What season does this look like?---What is on the side of the road?---How many black cars are there?---What is the name of the road?---Is this a city?	How long did it take them to remove that tree?---How long did it take them to remove the tree from the road?---Is the road blocked?---Why is the road marked off?---Why is the street blocked off?
292346	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000292346.jpg	3---3---3---3---3---3---3---3---3	What does red mean?---How many signs are there?---What letter comes after the "O"?---What does the upside down triangle say?---What number is in the circle?	Why are there so many signs close together?---Why are there so many signs?---Do you work there?---Do you think they could find a reason to put more signs up there?---Where was this picture taken?
506545	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000506545.jpg	3	What type of car is this?---What kind of sign is on the sidewalk?---What is the building made of?---What color is the car?---Can pedestrians cross safely?---What color is the sign?---What is the store in the background?	How cold was it?---Where is the cab going?---Why is it smoky?---Why is the ground steaming?---Does steam always come out of the manhole covers around here?
325444	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000325444.jpg	3---3---3	What year does it show on the banner?---What city is this?---Are there people in the scene?	Do you live there?---Are those olympic signs?---Were most of the roads plowed of snow?---What events or places are being advertised by the green signs?---What town is this?
314095	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000314095.jpg	3---1	What color is the license plate?---How is this driver breaking the rules?---What does the sign say?	What kind of car is that?---Where is this?---Is this vehicle stopped?---Did he stop just to see what would happen?---Where is the car going?
194974	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000194974.jpg	67---47---47---47---47	How many olives are on the toothpick?---A red drink?---What is in the glass?	What is the name of that drink?---What kind of drink is this?---Is this a bloody mary?---Do you have your bloody mary with celery or these garnishes?---What drink is that?
573570	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000573570.jpg	67---47	What is on the plate?---Do the plate and the cup have the same pattern?---What type of wood table are the items sitting on?	What meal are they eating?---What type of pancake is that?---What kind of food is this?---Do you like your pancakes perfectly round or organically shaped?---What is the name of this dish?
300388	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000300388.jpg	67	Is the blender on?---What are the orange chunks in the blender?---What are the towels made out of?	What is in the blender?---What is in the blender?---What fruit did you use?---Is this blender efficient?---Is that protein powder in the blender?
514392	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000514392.jpg	1---1---1---1---1---1---1---1	What is in the picture?---Is this picture taken at a ski resort?---What shape is the building on the left?---What are the first three letters on the building?---Is there a train in this photo?---Are the skies clear?	How much does it cost for a day skiing there?---How many people can ride the lift at the same time?---Is this a popular ski lift in your area?---Where is this ski slope?---Is that a portable restaurant?
340494	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000340494.jpg	1---1	Which of the boy's ear is closer to the girls stomach?---Are there a lot of children in this photo?---Is the child holding two brushes?---Is the boy happy?	Why does she have two brushes---How old is the youngest?---How old is the little girl?---Why is she using two brushes?---How old is the little girl?
507934	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000507934.jpg	1---1---1---1---1---1---67	Is the glass pane painted?---How many panes of glass are in this store front?---Which store is this?	Which mall is this?---IS the mural on the window of a restaurant or a business office?---Is this in a mall?---What kind of store is this?---What is in the reflection?
571078	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000571078.jpg	1	Is there anyone laying on the ground?---Are there any trees?---How many people are in this picture?---Is this a steep ski slope?---Does this photo have snow?---What is on the ground?---Are there more than 3 people skiing?	What mountain are they on?---You think this guy can cause an avalanche just skiing?---How difficult is that slope?---Where is his ski trail?---Who is skiing/
77902	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000077902.jpg	1---1---1---1	Is this a promotion for an exhibit?---What do these signs say?---Are buildings silhouetted?	Do signs like this draw your attention or are they easy to ignore?---Is that a sign for a festival?---Do they advertise artwork all over the city?---Where is this event held?---Do you own any Rockwells?
210537	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000210537.jpg	1---1	What vehicles are pictured?---Are they fixing their surfboards?---Is the woman on the left more than?	What ocean are these people in?---What sport are the women practising?---How did they get their windsurfers tangled up?---Are those paddle boards?---Did they run into each other?
411979	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000411979.jpg	1	Where is the arrow pointing?---What color is the person's outfit?---Is tumble on?	Where is this?---How old is the person skiing?---Is that a hard run?---Which way is he going to ski?---Is the man deep in snow?
430092	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000430092.jpg	1	Why is the woman wearing a scarf?---What is on her head?---Is this a garden?	Does she have cancer?---Are those plants in a greenhouse?---What is that growing next to the corn?---What is all planted in the garden?---What plants are those?
154927	1.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000154927.jpg	1	Is the woman looking in a mirror?---What animals are on her shirt?---How many fingers are touching the camera?	How old is the woman?---What is her name?---What kind of camera is that?---Is this woman taking a selfie?---Did the flash go off on the camera?
