image_id	score	url	categories	vqa	vqg
102191	0.5	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000102191.jpg	62---62---62---67---62---62	What room is this?---What is the shape of the doorway?---What color is the table?---Is this room lonely?	What country is this picture taken in?---Does the fireplace open on the other side of the wall also?---How big is this house?---Is that living room inside our outside?---How much does the fireplace help when it's cold?
420488	0.3333333333333333	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000420488.jpg	1---1	Is this a solar powered bus?---Where is the bus?---Is the bus moving or stopped?---What color is the bus?---What is the bus number?---What does the sign  say?---Where are these buses most often found?	What kind of bus is that?---How many people does this bus hold?---Where is the bus going?---Where is this bus in route to?---Did you ride the bus?
421314	0.25	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000421314.jpg	1---1---1	Is it sunny?---Where is the plane?---Is the plane being boarded?---How many windows are seen on the plane?	Where is this airport?---Is that the plane your friends boarded?---What airport is this?---Is this the plane you flew here on?---Where is the plane going?
561660	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000561660.jpg		What color is the keyboard?---Are all the phones plugged?---How many electronic devices are on the desk?	Why are there so many devices?---How many phones do you need?---Why would you need that many gadgets at your workstation?---Why is there so much stuff connected to the computer?---Are there all phones on this table?
501381	0.5	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000501381.jpg	1	What is under the man?---What type of building is the man in?---Is the man standing on the ground?	Is this an indoor skate park?---Where is this skate park located?---Is this an indoor skate park?---What are the blue squares?---What kind of skate trick is he doing?
407381	0.5	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000407381.jpg	1	Is this person going slowly down the hill?---What sport is this?---Has the ski slope been groomed recently?---What is he wearing?---Where is the person skiing?	Was he the first down that day?---How fast is he going?---Is this man going downhill?---Where is this ski slope?---Is he slipping?
429803	0.5	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000429803.jpg	1	What is the animal pulling?---Where is the human?---What color is the elephant?	Is that elephant full-grown?---Where was the elephant going?---In what country was this picture taken?---How old would the elephant be?---How is he not falling off the elephant?
303281	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000303281.jpg		How many apples are there?---Is this an apple tree?---What color are the leaves?---How many pieces of fruit can be seen?---What fruit is shown in this picture?---How many apples in the tree?	What kind of fruit is that?---What kind of apples are those?---What kind of apples are those?---What kind of apples are those?
564646	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000564646.jpg		Does the sink have a faucet?---How many sinks are shown?---Are there back to back sinks here?	Is this the bathroom of the house you are looking at?---Did you recently remodel the bathroom?---Is the bathroom being remodeled?---Is that a picture of your bathroom?---Was this bathroom picture taken in your house?
388228	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000388228.jpg		What animal is that?---How many animals do you see?---What is the building in the background?	Why is this zebra by apartments?---Does this zebra enjoy his environment?---Is that a wild zebra?---Is that a wild zebra?---Is there any other animals present?
36729	0.25	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000036729.jpg	62---62	What is the dominant decoration pattern?---Is the window open or closed?---Is this a hotel?---What kind of wallpaper is on the wall?---What are the blinds on the windows made out of?---What color curtains?---Are the furniture matching?---What is placed in front of the window?---What kind of box is in front of the windows?---Is this and antique bed frame?	Did you stay in this hotel room?---Where is this hotel?---Did all that yellow and red drive you crazy?---Is this a hotel?---Are those books on the table by the window?
524063	0.5	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000524063.jpg	1---1	Is the boy touching the ball?---What sport are the young men playing in the pic?---What does the boy's Jersey read?---Is this a professional game?---What sport is this?---Where are the players playing?---Is the man going to throw the ball?---Is one man wearing a hat?---Are they playing frisbee?---How many windows are visible in the background?---What colors are the men wearing?	Have you ever really watched a whole soccer game?---What league is this soccer game a part of?---What is the score in the game?---How old are these players?---Who's winning the soccer game?
349580	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000349580.jpg		Is it a sunny day?---Who is in that flying object?---What is flying in the sky?	Is this an air show?---What model of plane is that?---What kind of plane is that?---How pan loops did it fly?---Did he pull off any cool stunts?
174623	0.0	https://vision.ece.vt.edu/data/mscoco/images/train2014/./COCO_train2014_000000174623.jpg		Can you eat the items in the stand?---How many books are on the shelf?---What is the red item hanging on the left under the books?	Who designed your shelf arrangement?---What books are those?---What does the apron say?---Is this in a hotel?---How do you like your new shelves?
